Start 0:01:58 1.97 3.00 
Warm-Up 0:01:58 1.97 3.00 00:03:08
"Pack Riding" 0:05:06 5.10 5.00 00:02:33
 0:07:39 7.65 8.00 00:00:30
Recovery 0:08:09 8.15 5.00 00:01:09
"Close the Gap" 0:09:18 9.30 8.00 00:00:31
Recovery 0:09:49 9.82 5.00 00:00:51
"Spiral 1 - On" 0:10:40 10.67 9.50 00:02:12
Off 0:12:52 12.87 3.00 00:02:09
On 0:15:01 15.02 9.50 00:01:45
Off 0:16:46 16.77 3.00 00:01:59
On 0:18:45 18.75 9.50 00:01:35
Off 0:20:20 20.33 3.00 00:01:40
On 0:22:00 22.00 9.50 00:01:18
Off 0:23:18 23.30 3.00 00:01:22
On 0:24:40 24.67 9.50 00:01:07
Off 0:25:47 25.78 3.00 00:01:08
On 0:26:55 26.92 10.00 00:00:47
Off 0:27:42 27.70 3.00 00:00:53
On 0:28:35 28.58 10.00 00:00:34
Off 0:29:09 29.15 3.00 00:00:37
On 0:29:46 29.77 10.00 00:00:18
Recovery 0:30:04 30.07 3.00 00:05:18
"Spiral 2 - On" 0:35:22 35.37 9.50 00:02:05
Off 0:37:27 37.45 3.00 00:02:12
On 0:39:39 39.65 9.50 00:01:49
Off 0:41:28 41.47 3.00 00:02:01
On 0:43:29 43.48 9.50 00:01:33
Off 0:45:02 45.03 3.00 00:01:41
On 0:46:43 46.72 9.50 00:01:16
Off 0:47:59 47.98 3.00 00:01:23
On 0:49:22 49.37 9.50 00:01:01
Off 0:50:23 50.38 3.00 00:01:09
On 0:51:32 51.53 10.00 00:00:46
Off 0:52:18 52.30 3.00 00:00:50
On 0:53:08 53.13 10.00 00:00:30
Off 0:53:38 53.63 3.00 00:00:37
On 0:54:15 54.25 10.00 00:00:16
Off 0:54:31 54.52 3.00 00:00:26
On 0:54:57 54.95 10.00 00:00:13
Off 0:55:10 55.17 3.00 00:00:23
On 0:55:33 55.55 10.00 00:00:15
Off 0:55:48 55.80 3.00 00:00:23
On 0:56:11 56.18 10.00 00:00:15
"Cool Down" 0:56:26 56.43 3.00 00:05:31
Finish 1:01:57 61.95 3.00 -01:01:57
    
